City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
631,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
632,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
634,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
645,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
650,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
651,Sinnamary,GF,81.95,scattered clouds,5.3833,-52.95,
657,Gondanglegi,ID,76.77,broken clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
661,Almeirim,BR,88.5,broken clouds,-1.5233,-52.5817,Ricácio Hotel
663,Dicabisagan,PH,77.83,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
668,Iquitos,PE,77.04,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
679,Kieta,PG,77.97,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
