City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Coihaique,CL,2021-10-25 17:07:34,-45.5752,-72.0662,50.61,66,90,11.5
261,San Carlos De Bariloche,AR,2021-10-25 17:07:35,-41.1456,-71.3082,58.75,44,40,21.85
262,Thompson,CA,2021-10-25 17:04:26,55.7435,-97.8558,39.13,70,9,9.62
263,Broome,US,2021-10-25 17:07:36,42.2506,-75.833,72.21,65,1,1.99
264,Gouyave,GD,2021-10-25 17:07:37,12.1646,-61.7296,81.97,75,99,21.21
265,Sheksna,RU,2021-10-25 17:07:37,59.21,38.5107,35.56,98,100,15.66
266,Whitianga,NZ,2021-10-25 17:06:01,-36.8333,175.7,60.03,96,77,3.13
267,Kloulklubed,PW,2021-10-25 17:07:38,7.0419,134.2556,75.7,63,98,9.19
268,Kaoma,ZM,2021-10-25 17:07:38,-14.7833,24.8,83.12,26,86,3.89
269,Petropavlovsk-Kamchatskiy,RU,2021-10-25 17:07:39,53.0452,158.6483,29.25,79,24,13.2
270,West Wendover,US,2021-10-25 17:04:04,40.7391,-114.0733,60.01,48,100,26.46
271,Aguililla,MX,2021-10-25 17:07:40,18.7333,-102.7333,70.59,84,100,1.5
272,Constitucion,CL,2021-10-25 17:07:41,-35.3333,-72.4167,66.42,55,73,20.22
273,Jumla,NP,2021-10-25 17:07:41,29.2747,82.1838,45.0,86,5,3.33
274,Rtishchevo,RU,2021-10-25 17:07:42,52.2604,43.7874,30.13,70,29,6.24
275,Antofagasta,CL,2021-10-25 17:07:42,-23.65,-70.4,63.68,61,7,8.28
276,Tomatlan,MX,2021-10-25 17:07:43,19.9333,-105.25,85.89,61,94,1.48
277,Portland,US,2021-10-25 17:07:44,45.5234,-122.6762,59.2,64,90,5.01
278,Norman Wells,CA,2021-10-25 17:07:45,65.282,-126.8329,19.94,98,90,2.44
279,Lerwick,GB,2021-10-25 17:07:45,60.1545,-1.1494,48.2,82,41,18.34
280,Boa Vista,BR,2021-10-25 17:07:46,2.8197,-60.6733,87.78,58,75,6.91
281,Prince Rupert,CA,2021-10-25 17:07:46,54.3161,-130.3201,45.25,77,98,5.41
282,Greenfield,US,2021-10-25 17:06:34,42.9614,-88.0126,53.11,72,75,8.99
283,Waingapu,ID,2021-10-25 17:07:48,-9.6567,120.2641,80.51,79,67,3.24
284,Lagos,NG,2021-10-25 17:07:39,6.5833,3.75,80.71,83,82,5.82
285,Malinyi,TZ,2021-10-25 17:07:49,-8.9333,36.1333,85.05,30,64,4.88
286,Margherita,IN,2021-10-25 17:07:49,27.2833,95.6833,67.01,95,27,2.98
287,Kirakira,SB,2021-10-25 17:07:49,-10.4544,161.9205,78.15,85,38,6.76
288,Mehamn,NO,2021-10-25 17:07:50,71.0357,27.8492,24.71,90,37,25.41
289,Koshurnikovo,RU,2021-10-25 17:07:50,54.1667,93.3,37.27,91,41,3.74
290,Dakoro,NE,2021-10-25 17:07:50,14.5106,6.765,94.64,12,25,7.63
291,Goderich,CA,2021-10-25 17:05:01,43.7501,-81.7165,47.91,90,100,22.26
292,Bengkulu,ID,2021-10-25 17:07:51,-3.8004,102.2655,75.11,91,100,3.65
293,Tabuk,PH,2021-10-25 17:07:51,17.4189,121.4443,71.96,94,100,1.5
294,Naze,JP,2021-10-25 17:05:36,28.3667,129.4833,66.96,66,36,12.21
